Date,Adj_Close_AAPL,Volume_AAPL,VWAP_AAPL,Adj_Close_AMZN,Volume_AMZN,VWAP_AMZN,Adj_Close_GOOG,Volume_GOOG,VWAP_GOOG,Adj_Close_MSFT,Volume_MSFT,VWAP_MSFT,Adj_Close_QQQ,Volume_QQQ,VWAP_QQQ,Adj_Close_SPY,Volume_SPY,VWAP_SPY,Adj_Close_TSLA,Volume_TSLA,VWAP_TSLA,Adj_Close_VIX,log_Adj_Close_AAPL,log_Adj_Close_AMZN,log_Adj_Close_GOOG,log_Adj_Close_MSFT,log_Adj_Close_QQQ,log_Adj_Close_SPY,log_Adj_Close_TSLA,log_Adj_Close_VIX,log_VWAP_AAPL,log_VWAP_AMZN,log_VWAP_GOOG,log_VWAP_MSFT,log_VWAP_QQQ,log_VWAP_SPY,log_VWAP_TSLA,AAPL_daily_pct_change,AMZN_daily_pct_change,GOOG_daily_pct_change,MSFT_daily_pct_change,QQQ_daily_pct_change,SPY_daily_pct_change,TSLA_daily_pct_change,VIX_daily_pct_change,AAPL_daily_VWAP_pct_change,AMZN_daily_VWAP_pct_change,GOOG_daily_VWAP_pct_change,MSFT_daily_VWAP_pct_change,QQQ_daily_VWAP_pct_change,SPY_daily_VWAP_pct_change,TSLA_daily_VWAP_pct_change,log_AAPL_daily_pct_change,log_AMZN_daily_pct_change,log_GOOG_daily_pct_change,log_MSFT_daily_pct_change,log_QQQ_daily_pct_change,log_SPY_daily_pct_change,log_VIX_daily_pct_change,log_TSLA_daily_pct_change,log_AAPL_daily_VWAP_pct_change,log_AMZN_daily_VWAP_pct_change,log_GOOG_daily_VWAP_pct_change,log_MSFT_daily_VWAP_pct_change,log_QQQ_daily_VWAP_pct_change,log_SPY_daily_VWAP_pct_change,log_TSLA_daily_VWAP_pct_change
2011-01-03,10.091492652893066,445138400,11.722262064615885,184.22000122070312,5331400,183.81000264485678,301.0466003417969,4748131,299.9457295735677,22.061134338378903,53443800,28.02666664123535,49.75259017944336,90994300,55.31666692097983,102.7496337890625,138725200,126.78333282470703,5.323999881744385,6415000,5.301333268483479,17.610000610351562,2.311692757308727,5.2161307021864225,5.707265071177027,3.0938174331007744,3.9070625261577328,4.632295289273277,1.6722248783210665,2.8684669571674872,2.46148977445131,5.213902629794752,5.703601556870124,3.333156436993189,4.0130742540952795,4.842479588763425,1.6679583490133643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-04,10.144161224365234,309080800,11.808809598286947,185.00999450683597,5031800,185.49666341145834,299.9357604980469,3662677,300.27782185872394,22.14786529541016,54405600,28.036666870117188,49.71661376953125,43851500,55.246665954589844,102.69303894042967,137409700,126.84666951497395,5.334000110626221,5937000,5.309333324432373,17.3799991607666,2.3168982911376967,5.220409847980337,5.703568320053564,3.097741116921734,3.9063391583201996,4.63174433411569,1.6741014464996462,2.855320071549938,2.468845829048306,5.223036894885497,5.704708118977694,3.3335131845628236,4.011807993863741,4.842979030398872,1.6694662764173114,0.5219106160382347,0.42883144115626326,-0.36899265512010393,0.3931391545917595,-0.07231062700927549,-0.05508034096648462,0.18783300345528442,-1.3060842794619831,0.738317683003431,0.9176109799967636,0.11071745733082228,0.035681121161657,-0.12654588623349783,0.04995663771869552,0.1509064898155943,-0.6502589394048809,-0.8466913483215561,,-0.9335916468547572,,,,-1.6722019903993701,-0.30338108223074894,-0.08598174724383882,-2.200773752235377,-3.3331335490718303,,-2.996599895455133,-1.8910949067401877
2011-01-05,10.22713851928711,255519600,11.879047075907389,187.4199981689453,3418800,186.3133341471354,303.3977966308594,5083583,302.1092936197917,22.0768985748291,58998700,27.926666895548504,50.13940048217773,43787400,55.52333323160807,103.22679138183594,133975300,127.27333323160808,5.366000175476074,7233500,5.328000068664551,17.020000457763672,2.325044826201409,5.233352077925884,5.715044804629852,3.094531748446522,3.9148071357814738,4.636928425768687,1.6800827847048994,2.8343891500408605,2.474776098251599,5.227429848568209,5.71078885130836,3.3295820350465957,4.0168033509887895,4.846337003899137,1.6729759461255787,0.8179808373172559,1.3026343082347847,1.1542592077262714,-0.3204223957230079,0.8503932198728803,0.519755230649932,0.5999262127142524,-2.0713390125793874,0.5947888060675588,0.4402616848506735,0.6099257513361822,-0.3923432663314408,0.5007854722774319,0.3363617809325037,0.35158358105484844,-0.2009163689163125,0.26438860505660566,0.1434587596105454,,-0.1620564248543852,-0.6543972885141213,,-0.5109486101380839,-0.5195488842309983,-0.8203859905595748,-0.49441804834416625,,-0.6915774686477055,-1.0895679693100164,-1.0453078120577128
2011-01-06,10.2188720703125,300428800,11.927143096923828,185.8600006103516,3179700,186.17333475748697,305.6045227050781,4131026,305.8502604166667,22.723434448242188,88026300,28.510000228881836,50.30130386352539,46139600,55.85333251953125,103.02459716796876,122519000,127.41000111897786,5.576000213623047,10306000,5.512666702270508,17.399999618530273,2.3242362137448316,5.224993705413125,5.722291856610466,3.123396746523977,3.9180309985097983,4.634967767175682,1.7184717117693853,2.8564701842969358,2.478816735254402,5.2266781470554955,5.723095637140449,3.3502549109527053,4.022729192840384,4.847410241775786,1.7070484810904167,-0.08082856176260256,-0.8323538436850741,0.7273375412490735,2.9285629556238035,0.3229064962697592,-0.19587377575193132,3.913530213933347,2.2326624591438637,0.4048811382689532,-0.0751419055910807,1.2382825937102826,2.0888039933842473,0.5943434385443647,0.10738140025066123,3.465965300789553,,,-0.31836461587194015,1.0745118438832357,-1.1303924829013625,,0.8031948011741477,1.3644398346707576,-0.9041617407066416,,0.21372541453855634,0.7365916502088095,-0.5202979473331666,-2.2313682939287496,1.2429911799304194
2011-01-07,10.292057037353516,311931200,11.956785519917807,185.4900054931641,5221700,185.8933359781901,307.06903076171875,4218152,306.3218282063802,22.54997444152832,73762000,28.53000005086263,50.2563362121582,72261700,55.746665954589844,102.82244873046876,156034600,127.01999918619792,5.6479997634887695,11239500,5.647999922434489,17.139999389648438,2.331372436315676,5.223001001852928,5.727072578212262,3.115733932534667,3.917136632764326,4.633003702045664,1.7313014583157222,2.841414877559857,2.4812989431599197,5.2251730467378525,5.724636275440535,3.3509561670081855,4.020817605046813,4.844344547967947,1.7313014864576706,0.7161746084837439,-0.19907194445951681,0.4792167483901766,-0.7633529478519696,-0.08939659196348648,-0.1962137616227877,1.2912400844213856,-1.4942542217354249,0.24852911341042283,-0.15039682222033335,0.15418256929748964,0.07015019929930144,-0.1909761873279514,-0.3060999367041406,2.4549501624729464,-0.33383127515470895,,-0.7356022820609075,,,,,0.25560306236812114,-1.3921952837265714,,-1.8696178638176564,-2.6571166313927788,,,0.8981064606220759
2011-01-10,10.485881805419922,448560000,12.176785786946615,184.67999267578125,3375900,184.15999348958334,305.95819091796875,3170238,305.2159729003906,22.250362396240234,57573600,28.21999994913737,50.44524383544922,55551800,55.946667989095054,102.69303894042967,122401700,126.78000132242839,5.690000057220459,6713500,5.678666750590007,17.540000915527344,2.350029762431267,5.218624557979816,5.723448461630487,3.102358295951081,3.9208884675378113,4.63174433411569,1.7387102581945593,2.8644840391405775,2.499531334758624,5.215804909621614,5.721019633887456,3.340030944622307,4.0243988796171815,4.842453311286912,1.7367164781715623,1.883246151502549,-0.43668811978804234,-0.361755739741787,-1.3286580260433278,0.37588817158007437,-0.12585752589721055,0.74363129409456,2.3337312725955073,1.8399616407129615,-0.9324392827132377,-0.36101093822296093,-1.0865758891433486,0.3587694996291413,-0.18894494198328227,0.5429679280572586,0.6329969641811828,,,,-0.9784635958395961,,0.847468391244065,-0.2962099394392066,0.6097447239649755,,,,-1.025075159018507,,-0.6107050251438424
2011-01-11,10.461077690124512,444108000,12.215119361877441,184.33999633789065,2814200,184.51666768391928,306.8548278808594,2889390,307.06737263997394,22.16362762451172,50298900,28.136666615804035,50.51719284057617,56663800,56.15666707356771,103.05697631835938,110287000,127.37333170572917,5.392000198364258,8551000,5.50600004196167,16.889999389648438,2.347661482978202,5.216781858699459,5.726374762395086,3.0984525499485955,3.922313730629221,4.6352820034279505,1.6849164103986287,2.826721694682848,2.502674476407965,5.217739799150432,5.727067178363838,3.3370735875198196,4.028145410975822,4.84712239395548,1.7058384143414962,-0.236547729181813,-0.18410025523851736,0.2930586562171822,-0.3898128497141773,0.14262792615622466,0.3543934249923275,-5.237255814752539,-3.705823785353912,0.3148086498484526,0.19367626354531708,0.6065867791878343,-0.29529884296077835,0.37535583801628913,0.4679999819465319,-3.04062055781662,,,-1.2273824981332717,,-1.9475159545775806,-1.0373476129280301,,,-1.1557902855341315,-1.6415672584357965,-0.499907478907744,,-0.9798808015572679,-0.7592870216402775,
2011-01-12,10.546204566955566,302590400,12.272023518880209,184.0800018310547,2679100,184.25333658854166,307.2832336425781,3277640,307.34632364908856,22.510555267333984,52631100,28.40333302815755,50.87700653076172,51979300,56.44000116984049,103.98702239990234,107929200,128.25333404541016,5.392000198364258,4822000,5.392000039418538,16.239999771118164,2.3557660385074377,5.21537045567417,5.727769907422067,3.113984322199207,3.9294110833930995,4.644266106738801,1.6849164103986287,2.7874773206398227,2.5073221610898346,5.216311639934199,5.727975201833907,3.34650649842739,4.033178147711766,4.854007480168416,1.6849163809205656,0.8137486342484124,-0.14104074644734066,0.13961186945543602,1.565301712787237,0.712259866301479,0.9024581496257955,0.0,-3.8484289047911124,0.46585019201992317,-0.14271398821743553,0.09084358481865618,0.9477541031947645,0.5045422227455187,0.6908842910021917,-2.0704686101403635,-0.2061037638037313,,-1.9688890675158572,0.44807859313442566,-0.33931245339893285,-0.10263296145606396,,-inf,-0.7638911728931871,,-2.3986160995263273,-0.05366019518882412,-0.684103750429784,-0.3697829207524027,
2011-01-13,10.584781646728516,296780400,12.335357030232748,185.52999877929688,3367000,185.163330078125,307.1935729980469,2678000,307.26829020182294,22.226709365844727,67077600,28.196666717529297,50.89499282836914,47364500,56.573333740234375,103.81715393066406,129048400,128.37000020345053,5.24399995803833,3618000,5.289999961853027,16.389999389648438,2.359417275817469,5.22321658745924,5.7274780798243485,3.1012946902914353,3.929764545993971,4.64263121652558,1.6570845578996094,2.796671355516472,2.5124696940482694,5.221238300869161,5.7277212754028515,3.339203769451666,4.0355377388584674,4.854916720681711,1.66581823865906,0.36579111971546396,0.7876993338868932,-0.02917850201861194,-1.26094580128443,0.035352507613728434,-0.16335545082252212,-2.7448114777671173,0.9236429842630844,0.5160804267943409,0.4938816883492736,-0.025389419446808503,-0.7276128841054552,0.23623771727547815,0.09096539977593299,-1.8916928193589255,-1.0056928196583081,-0.23863881791636288,,,-3.3423859524163113,,-0.07942966267235375,,-0.6614926597658931,-0.7054592877469422,,,-1.4429167043281774,-2.3972760670105866,
2011-01-14,10.67052173614502,308840000,12.397618929545084,188.75,3662800,187.5366668701172,310.9245910644531,4748934,309.7606201171875,22.313438415527344,62688400,28.196666081746418,51.27278900146485,43867400,56.82666651407877,104.56929779052734,117677900,128.91000366210938,5.150000095367432,5960000,5.196000099182129,15.460000038146973,2.367484961601351,5.240423388129134,5.739550410316468,3.1051891164942123,3.9371601826282427,4.649849988378304,1.6389967331935924,2.7382560456267386,2.5175044323615623,5.2339743829323835,5.735799806014112,3.3392037469035083,4.040005696437106,4.859114514863277,1.6478891178965225,0.8100317255292921,1.735569041065732,1.2145495200285295,0.390201933426515,0.742305189765391,0.7244889995401183,-1.7925221857946316,-5.674187834862465,0.5047433905621013,1.2817531370767687,0.8111249988495439,-2.2548157341262254e-06,0.44779537830952343,0.4206617261065748,-1.776935034947924,-0.2106818647625583,0.5513353371854397,0.19437324263340586,-0.941090895842524,-0.29799481341683465,-0.3222887008561763,,,-0.6837051163531777,0.24822877917371874,-0.20933310745915074,,-0.8034188957516646,-0.8659262692141545,
